VendorNumber,VendorName,Brand,Description,PurchasePrice,ActualPrice,Volume,TotalPurchaseQuantity,TotalPurchaseDollars,TotalSalesQuantity,TotalSalesDollars,TotalSalesPrice,TotalExciseTax,FreightCost,GrossProfit,ProfitMargin,StockTurnover,SalesToPurchaseRatio
9165,ULTRA BEVERAGE COMPANY LLP,23517,Luiano Rosato,8.27,12.99,750.0,12.0,99.24,25.0,302.75000000000006,290.7600000000001,2.75,68054.70000000003,203.51000000000005,67.2204789430223,2.0833333333333335,3.0506852075775903
7153,PINE STATE TRADING CO,42643,Echelon CA Pnt Grigio,8.27,11.99,750.0,12.0,99.24,8.0,95.91999999999999,71.94,0.89,15884.819999999998,-3.3200000000000074,-3.4612176814011755,0.6666666666666666,0.9665457476823861
9815,WINE GROUP INC,39086,Corbett Canyon Pnt Grigio,5.51,7.99,1500.0,18.0,99.18,12.0,102.87999999999998,94.88999999999999,2.6500000000000004,27100.409999999996,3.6999999999999744,3.596423017107285,0.6666666666666666,1.037305908449284
3252,E & J GALLO WINERY,43547,Carlo Rossi RSV Wh Znfdl Cal,5.51,7.99,1500.0,18.0,99.18,14.0,111.85999999999997,103.86999999999999,3.0900000000000007,61966.909999999996,12.679999999999964,11.33559806901481,0.7777777777777778,1.1278483565234922
12546,JIM BEAM BRANDS COMPANY,1416,Old Grand Dad,19.83,24.99,1750.0,5.0,99.15,66.0,1847.3400000000004,1119.6000000000001,121.30000000000008,123880.96999999999,1748.1900000000003,94.63282341095845,13.2,18.63177004538578
10754,PERFECTA WINES,38112,Canyon Oaks Znfdl Cal,4.13,5.99,750.0,24.0,99.12,24.0,143.76,11.98,2.7,28720.52,44.639999999999986,31.051752921535886,1.0,1.4503631961259078
4692,KOBRAND CORPORATION,25742,Jadot Combe Aux Jacques Bjls,8.21,11.99,750.0,12.0,98.52,0.0,0.0,0.0,0.0,9139.38,-98.52,0.0,0.0,0.0
90047,CRUSH WINES,18773,Ravines Cabernet Franc,8.21,17.99,750.0,12.0,98.52,25.0,409.7500000000001,281.83000000000004,2.7600000000000002,1457.7299999999998,311.23000000000013,75.95607077486272,2.0833333333333335,4.159053999187983
7153,PINE STATE TRADING CO,14344,Sassy Bitch Pnt Noir,8.21,11.99,750.0,12.0,98.52,12.0,143.88,11.99,1.35,15884.819999999998,45.36,31.526271893244374,1.0,1.4604141291108403
653,STATE WINE & SPIRITS,19925,Green Lip Svgn Bl,8.21,11.99,750.0,12.0,98.52,12.0,143.88,11.99,1.35,8014.98,45.36,31.526271893244374,1.0,1.4604141291108403
90024,VINILANDIA USA,15647,Tortoise Creek Znfdl,8.21,11.99,750.0,12.0,98.52,12.0,143.88,11.99,1.35,2802.6400000000003,45.36,31.526271893244374,1.0,1.4604141291108403
1003,BRONCO WINE COMPANY,13835,Down Under Cellars Shiraz,8.21,11.99,1500.0,12.0,98.52,1.0,11.99,11.99,0.22,10.530000000000001,-86.53,-721.6847372810676,0.08333333333333333,0.12170117742590338
9165,ULTRA BEVERAGE COMPANY LLP,2884,Comandon XO Cognac,98.48,129.99,750.0,1.0,98.48,20.0,2599.8,1429.89,15.769999999999996,68054.70000000003,2501.32,96.21201630894684,20.0,26.39926888708367
516,BANFI PRODUCTS CORP,15300,Riunite D'Oro Moscato,4.1,5.99,750.0,24.0,98.4,7.0,41.93,23.96,0.78,8510.410000000002,-56.470000000000006,-134.67684235630816,0.2916666666666667,0.42611788617886176
3252,E & J GALLO WINERY,18965,Sprinkle Chard,4.1,5.99,750.0,24.0,98.4,7.0,41.93000000000001,35.940000000000005,0.77,61966.909999999996,-56.47,-134.6768423563081,0.2916666666666667,0.4261178861788618
3960,DIAGEO NORTH AMERICA INC,2650,Tanqueray Old Tom Gin,19.68,24.99,1000.0,5.0,98.4,73.0,1824.2700000000004,849.6600000000002,76.64999999999996,257032.07000000007,1725.8700000000003,94.60606160272327,14.6,18.539329268292686
4425,MARTIGNETTI COMPANIES,24955,De Gregorio Rahana Chard DOC,8.16,11.99,750.0,12.0,97.92,0.0,0.0,0.0,0.0,144929.24,-97.92,0.0,0.0,0.0
